Mu X Pos,Mu Y Pos,Mu X Vel,Mu Y Vel,Mu X Acc,Mu Y Acc,Obs X Pos,Obs Y Pos
-171.265373115 ,  40.477017953 ,  -0.00256472491769 ,  0.000606149478145 ,  2.46869373336e-05 ,  -5.83453378511e-06 , -214.081706792 , 50.596270172
-182.276262039 ,  42.7863264297 ,  -0.0403342953615 ,  0.00852699948449 ,  -0.000767748600352 ,  0.000159676988437 , -196.00950031 , 45.6665399744
-183.603885116 ,  43.0115416603 ,  -0.0578196953489 ,  0.0114963707825 ,  -0.00661959687572 ,  0.00113205144661 , -186.530099623 , 43.5063138309
-180.677461846 ,  37.6031135595 ,  0.0533657992356 ,  -0.19696098694 ,  0.0447261055678 ,  -0.0921498501296 , -171.310791883 , 20.4136938702
-178.175657512 ,  34.307998342 ,  0.291565139466 ,  -0.518724926753 ,  0.1425422837 ,  -0.217870488356 , -168.237749064 , 21.4053434388
-176.50455434 ,  31.0402480696 ,  0.630115787514 ,  -1.16076818223 ,  0.256707845652 ,  -0.443148313615 , -169.421670693 , 17.0981538519
-173.461910938 ,  27.2537870571 ,  1.58988914936 ,  -2.35807090903 ,  0.576189744928 ,  -0.819949004811 , -160.435359283 , 11.7231398261
-168.391938153 ,  21.7250839326 ,  3.75627314403 ,  -4.68884358514 ,  1.23101494658 ,  -1.49125848709 , -149.192086895 , 1.83346463426
-165.901881944 ,  16.0341924581 ,  4.78253201545 ,  -7.33108245535 ,  1.36632032821 ,  -2.09480617406 , -162.085868136 , 1.67600237817
-159.597052973 ,  5.55949049258 ,  7.91906677635 ,  -12.6142625478 ,  2.07342528301 ,  -3.31630825053 , -145.744933067 , -18.1988672736
-151.646262396 ,  -7.64501413517 ,  11.6462261431 ,  -18.8820293039 ,  2.77484758944 ,  -4.52085668913 , -138.92777231 , -29.3259003952
-147.362581958 ,  -19.8269456091 ,  12.5531449688 ,  -23.4935707056 ,  2.61202838652 ,  -5.04289664926 , -148.077213783 , -30.7854632278
-139.934689351 ,  -33.7550863294 ,  14.913203955 ,  -27.9900077966 ,  2.78808450158 ,  -5.37597954458 , -135.416911595 , -42.2639975271
-136.685876557 ,  -46.4880712996 ,  14.5090984488 ,  -31.0438987317 ,  2.29494091908 ,  -5.30761248367 , -141.977316944 , -49.7417829049
-130.761129834 ,  -62.0896538059 ,  15.5296446313 ,  -34.9978645709 ,  2.17632668861 ,  -5.41340889596 , -130.339273048 , -68.721574306
-126.626220966 ,  -75.5058574812 ,  15.3257688068 ,  -36.9591734099 ,  1.78871141491 ,  -5.02932190295 , -130.44145375 , -74.9457165477
-123.664091557 ,  -86.2597691153 ,  14.3357604532 ,  -36.7946920813 ,  1.26004552561 ,  -4.18061833739 , -129.883503859 , -78.3222919672
-122.717862831 ,  -100.087224878 ,  12.4360661093 ,  -38.3776752738 ,  0.592131379163 ,  -3.81648122744 , -131.612770125 , -100.151827855
-126.69225646 ,  -110.96384456 ,  7.94205307977 ,  -37.7162618577 ,  -0.586237172274 ,  -2.95582418825 , -144.430695176 , -102.938181931
-133.49020794 ,  -120.58628206 ,  2.24230723865 ,  -35.6823962403 ,  -1.89426479883 ,  -1.84484380739 , -153.332312485 , -108.735065502
-138.872621342 ,  -132.563986124 ,  -1.97123362353 ,  -34.9314167746 ,  -2.69304650178 ,  -1.1454815219 , -151.034112904 , -127.198196704
-145.79447001 ,  -145.406017299 ,  -6.39821297941 ,  -34.8310024424 ,  -3.43485125028 ,  -0.670450412745 , -157.644398116 , -143.449742453
-156.822481703 ,  -149.541815618 ,  -12.4265485156 ,  -29.317213945 ,  -4.40897233297 ,  0.990667576891 , -172.496199044 , -129.7204908
-168.236320671 ,  -149.873166072 ,  -17.6872212811 ,  -22.2817987098 ,  -5.05345753435 ,  2.77715826411 , -179.649834047 , -127.702114368
-177.780628297 ,  -149.216613642 ,  -21.0105612672 ,  -15.7250798163 ,  -5.15644996046 ,  4.21519362316 , -181.941404169 , -131.149854155
-187.941770943 ,  -151.998044329 ,  -24.0474445117 ,  -12.1354032107 ,  -5.1662649324 ,  4.7993198435 , -191.262103757 , -145.55313389
-198.949154817 ,  -155.976009416 ,  -26.9102139689 ,  -9.79644409996 ,  -5.1082503276 ,  5.01895697885 , -201.740153267 , -154.472621118
-209.669439753 ,  -155.255438028 ,  -28.9708896178 ,  -5.28777160199 ,  -4.84908168163 ,  5.67694158701 , -209.822805402 , -146.609149107
-222.750853843 ,  -160.452523428 ,  -31.822324918 ,  -4.80879258341 ,  -4.77009419362 ,  5.34439634468 , -226.0339741 , -166.457560756
-235.16583951 ,  -159.220542626 ,  -33.9832761559 ,  -1.2024710951 ,  -4.54341419514 ,  5.7568690519 , -236.635117052 , -153.372133573
-247.443205291 ,  -158.204585575 ,  -35.0533051239 ,  1.92131190122 ,  -4.03775750246 ,  5.94991706063 , -244.829223361 , -155.351006926
-260.467818393 ,  -154.273876545 ,  -36.091781852 ,  6.04681479944 ,  -3.55867130736 ,  6.31600690886 , -258.464504498 , -148.26948984
-269.577277485 ,  -154.25788296 ,  -34.3097648897 ,  7.27191188071 ,  -2.47556361562 ,  5.9461619531 , -258.547556699 , -158.982872791
-281.544198173 ,  -153.035222324 ,  -34.3596663769 ,  8.7001354115 ,  -1.92530860625 ,  5.66582121207 , -278.363244747 , -156.223304606
-290.728440831 ,  -150.467501412 ,  -32.664117762 ,  10.4463452646 ,  -1.03653798668 ,  5.46799260689 , -282.323325479 , -152.176159391
-298.92897487 ,  -145.590372728 ,  -30.2464173634 ,  13.0048628582 ,  -0.079701509522 ,  5.43602930101 , -289.303972879 , -144.483074629
-308.427215613 ,  -140.740954995 ,  -28.8464785391 ,  14.9729745305 ,  0.54036772467 ,  5.26071871543 , -303.562511863 , -141.434224843
-314.638610118 ,  -138.192249272 ,  -25.9779912799 ,  15.2154564939 ,  1.41935459919 ,  4.71900300989 , -305.426913944 , -144.306932595
-322.481582507 ,  -133.428990266 ,  -23.8337893801 ,  16.3194935296 ,  2.02573235934 ,  4.38183012473 , -317.171743371 , -136.26344964
-328.720094985 ,  -126.521356389 ,  -21.5244831916 ,  18.3739267273 ,  2.60631086044 ,  4.30632449183 , -323.368496184 , -125.15016327
-335.550343508 ,  -116.99464102 ,  -19.9397221381 ,  21.4787360166 ,  2.95955611101 ,  4.45861561283 , -333.350277832 , -111.637491161
-342.906707397 ,  -109.522759015 ,  -18.4069605481 ,  22.6230284137 ,  3.23609565377 ,  4.1008841113 , -341.702457139 , -111.754225686
-350.580577293 ,  -102.321479784 ,  -17.673877139 ,  23.4655593551 ,  3.31555086511 ,  3.72283493772 , -352.239245416 , -104.728578295
-355.820748751 ,  -95.2563788553 ,  -15.3399553957 ,  23.6552749276 ,  3.71730456253 ,  3.19879781744 , -352.322095158 , -99.7558391177
-362.503718589 ,  -86.4631614571 ,  -14.0790701085 ,  24.4834001524 ,  3.81437406527 ,  2.85647055018 , -363.36356835 , -88.077756012
-365.151279207 ,  -78.6457948918 ,  -11.4746841625 ,  25.055572522 ,  4.23793784483 ,  2.51611633984 , -360.634834375 , -80.1714413777
-366.053481941 ,  -68.5501989628 ,  -7.5647284979 ,  25.9174989829 ,  4.83268463751 ,  2.22448073235 , -358.684936199 , -69.1808219263
-372.448757569 ,  -56.7457338009 ,  -7.25190438868 ,  27.2406448686 ,  4.51466098615 ,  2.04736243503 , -378.285469424 , -55.5291307302
-371.474170706 ,  -46.9935411684 ,  -3.4904329405 ,  27.7109470933 ,  5.04537580574 ,  1.70741637501 , -364.460044062 , -48.0274472245
-368.178297294 ,  -37.8734844926 ,  1.20076396971 ,  27.1452329836 ,  5.66309391814 ,  1.14790518206 , -359.378474853 , -42.1374279394
-363.979227008 ,  -30.6768514235 ,  5.28690898887 ,  26.2318627326 ,  6.11642855456 ,  0.583278775707 , -356.591488802 , -35.3312605269
-10.0694606549 ,  203.813387655 ,  173.58255629 ,  20.6132260679 ,  14.0838286743 ,  -0.541182502671 , 0.760146347324 , 202.649253903
31.1410533384 ,  206.816791996 ,  138.564308694 ,  13.8253095773 ,  8.98594176478 ,  -1.24949740752 , -0.229432612465 , 202.13106144
47.2279599026 ,  208.490580928 ,  111.25312623 ,  10.3055081102 ,  5.41605946554 ,  -1.60137972664 , 15.0642123018 , 205.344809906
47.6084942476 ,  208.924793404 ,  82.2580508374 ,  7.17064545545 ,  2.33446623829 ,  -1.86685427548 , 6.46943262823 , 205.531408833
45.9407376635 ,  206.873950594 ,  61.6965778823 ,  3.30063255214 ,  0.27844062123 ,  -2.12583757039 , 9.9878504743 , 201.415140091
47.3473256489 ,  207.346598532 ,  49.5700457525 ,  2.24745246568 ,  -1.00102310637 ,  -2.17953524032 , 21.4783331281 , 206.538650017
51.2304478754 ,  209.478627816 ,  42.3276188328 ,  2.51061850415 ,  -1.87115346099 ,  -2.15243334551 , 33.0906646679 , 211.880427214
55.4892326433 ,  211.946722861 ,  37.025489256 ,  2.91412362979 ,  -2.56985370862 ,  -2.11793336751 , 40.529530192 , 215.184241274
60.7898362986 ,  212.328128672 ,  33.2642761245 ,  2.04714616802 ,  -3.14294741869 ,  -2.16423674703 , 49.7258927726 , 211.39201109
64.4828801297 ,  211.757796343 ,  29.275297595 ,  0.814233715113 ,  -3.73002216749 ,  -2.2355338068 , 51.6094404607 , 209.186184665
70.324892894 ,  207.763212652 ,  26.907741152 ,  -2.04572761496 ,  -4.15718741165 ,  -2.47250679497 , 64.3674362933 , 197.620919165
73.9001314421 ,  203.759313441 ,  23.753374496 ,  -4.52530739027 ,  -4.68191095067 ,  -2.68093060349 , 64.0869538217 , 194.973533035
75.720654773 ,  196.710321801 ,  20.0718696922 ,  -8.32404258773 ,  -5.29075618196 ,  -3.10787025149 , 63.3931608846 , 181.033583785
77.4533279372 ,  186.883421118 ,  16.6134506245 ,  -13.2474180984 ,  -5.85409806721 ,  -3.75803940446 , 67.0920219881 , 165.927560388
75.0516772088 ,  180.766945983 ,  11.0276889766 ,  -15.6287759352 ,  -6.82509127626 ,  -3.89595815427 , 55.3017656418 , 174.131947252
73.9004983192 ,  174.104708199 ,  6.8894263594 ,  -18.1099128723 ,  -7.45655518852 ,  -4.06373872215 , 62.4110922264 , 166.960722542
70.4774274356 ,  166.438681164 ,  1.71462397745 ,  -20.8383638171 ,  -8.27481785473 ,  -4.26916672882 , 55.6167985386 , 158.773511005
66.8584301762 ,  158.774215788 ,  -3.07721240829 ,  -23.1738687448 ,  -8.91353595084 ,  -4.34745481467 , 55.6241076627 , 153.592895929
63.2876592261 ,  153.534631943 ,  -7.2115902387 ,  -23.6747089599 ,  -9.31645606453 ,  -3.94087051023 , 55.9474347525 , 156.493887298
56.0059012135 ,  144.546987533 ,  -13.1245168717 ,  -26.3645274765 ,  -10.1157362158 ,  -4.12138593882 , 41.9314697952 , 137.807534593
48.1602313024 ,  140.676794708 ,  -18.6160001975 ,  -25.3521654753 ,  -10.692651553 ,  -3.30533306095 , 37.0756692488 , 149.323416913
38.0794076167 ,  139.800728106 ,  -24.7599283018 ,  -22.3949458384 ,  -11.3499864261 ,  -2.05905470107 , 25.0564891774 , 155.128135519
27.8914163277 ,  139.614229574 ,  -30.0520594662 ,  -19.0943641197 ,  -11.6592018629 ,  -0.842495441284 , 19.3924385188 , 154.764994048
18.4596595023 ,  138.277812383 ,  -33.9935714923 ,  -16.7963105658 ,  -11.5447727572 ,  -0.00689680534917 , 15.6231529755 , 148.103990411
9.79519682975 ,  142.803416212 ,  -36.8147979725 ,  -11.032110228 ,  -11.1433813528 ,  1.61877168807 , 10.7482302507 , 165.409003503
-0.818543034359 ,  145.262951401 ,  -40.1514790667 ,  -7.06543145059 ,  -10.8376015109 ,  2.61270207198 , -1.78913528802 , 159.013952384
-6.99711668235 ,  148.970123277 ,  -40.0707971242 ,  -2.78462664124 ,  -9.67817680181 ,  3.57452274208 , 4.95341107106 , 163.021804099
-13.1047674762 ,  155.98974063 ,  -39.6925384458 ,  3.07887352733 ,  -8.53206265199 ,  4.81983114128 , -1.172336706 , 175.47882327
-16.7000428225 ,  164.095896361 ,  -37.3406311233 ,  8.96627939999 ,  -6.95678346944 ,  5.91348527454 , 2.18631492738 , 182.118183316
-19.0824486266 ,  174.792193322 ,  -34.3682742998 ,  15.7202430884 ,  -5.37804894165 ,  7.09757589447 , 0.497258727696 , 195.483419781
-20.5289461447 ,  185.175150353 ,  -30.9443628445 ,  21.4466786994 ,  -3.82748319846 ,  7.88374428143 , -0.67010964826 , 200.697986306
-19.9655111308 ,  193.419727313 ,  -26.3595974174 ,  25.0607070457 ,  -2.12108396233 ,  8.02721614555 , 3.0830323015 , 199.32540141
-14.944489134 ,  199.207709605 ,  -19.328842707 ,  26.5698133422 ,  0.0319780809387 ,  7.60197581181 , 16.2688320203 , 196.322828939
-9.71945564318 ,  205.562846193 ,  -12.8429351573 ,  28.0985455492 ,  1.83446785707 ,  7.20437892188 , 17.0235454893 , 203.370846667
-4.14855147183 ,  213.780065024 ,  -6.81104040831 ,  30.4887741947 ,  3.34306395135 ,  7.04504590542 , 19.0475849067 , 215.824648826
3.93106268834 ,  217.371891223 ,  0.240719972182 ,  29.5000524482 ,  4.94375849105 ,  6.01850575931 , 29.6480853029 , 205.262441068
12.271192829 ,  221.283005264 ,  6.74881946137 ,  28.4838414496 ,  6.22179729319 ,  5.0490085774 , 33.4904741836 , 210.105388773
21.415833575 ,  220.710609555 ,  12.98171061 ,  24.599957182 ,  7.27879077944 ,  3.44022226078 , 39.908082046 , 198.938112959
32.2296997099 ,  222.115794729 ,  19.470169858 ,  22.2424677529 ,  8.27533880363 ,  2.36959644706 , 50.7953712078 , 208.523630426
42.9230747955 ,  220.986567263 ,  25.0483885173 ,  18.3950949826 ,  8.90690216794 ,  1.02132530507 , 56.5271712646 , 202.449992743
52.4420100509 ,  219.511047406 ,  29.0831665437 ,  14.5658342139 ,  9.04123159947 ,  -0.192617510539 , 58.7360317422 , 202.664460078
57.9974835681 ,  210.296931481 ,  29.962409495 ,  6.23480280815 ,  8.3277320223 ,  -2.40884464194 , 51.1389025956 , 176.69806271
63.779261425 ,  202.366661729 ,  30.7869539214 ,  -0.360809078036 ,  7.67550679565 ,  -3.95756146129 , 57.9799890982 , 177.92017922
70.4578287254 ,  190.845628018 ,  31.5801606718 ,  -8.5811766533 ,  7.0046817339 ,  -5.71845501598 , 64.5969754967 , 162.353197062
72.6886882794 ,  181.264348573 ,  29.4424699055 ,  -14.6148211147 ,  5.66594918253 ,  -6.73832700634 , 56.1125622918 , 163.347251282
72.999987547 ,  173.163912681 ,  26.2358360149 ,  -18.9931541227 ,  4.19058280004 ,  -7.2285875129 , 53.5973295471 , 162.707832698
73.776835474 ,  163.875430564 ,  23.2880012101 ,  -23.4398504443 ,  2.89687419088 ,  -7.63347867841 , 56.9475939785 , 154.169305038
71.6375353003 ,  154.380869442 ,  18.7359457476 ,  -27.3703199275 ,  1.32856804125 ,  -7.84319559755 , 49.8371208034 , 147.130823897
67.5071205907 ,  147.252535013 ,  13.3475383471 ,  -29.2513901142 ,  -0.29014417957 ,  -7.49648352116 , 44.0195211398 , 148.450564811
59.8025805485 ,  141.563880354 ,  6.27671563429 ,  -29.8869588142 ,  -2.16089961777 ,  -6.85608327662 , 31.0066608377 , 147.330197181
52.3895610684 ,  135.285638985 ,  0.00309091798766 ,  -30.4865711485 ,  -3.63138963079 ,  -6.22596097476 , 29.1815256381 , 140.746745679
44.1615440828 ,  131.160774365 ,  -6.0997721208 ,  -29.4517951731 ,  -4.89183429461 ,  -5.22472174232 , 23.4958281257 , 142.578499165
35.2729400883 ,  130.378033665 ,  -11.8914849798 ,  -26.3021301481 ,  -5.92890270921 ,  -3.7839897252 , 17.252532401 , 149.188598969
24.7657178086 ,  134.624549606 ,  -17.9678408541 ,  -20.1966258064 ,  -6.90621170195 ,  -1.7413710933 , 6.759976814 , 163.854864951
13.8729029256 ,  135.387775437 ,  -23.5269435015 ,  -16.7794477685 ,  -7.63497841904 ,  -0.57223026346 , -1.14864699285 , 151.380443238
5.08142797282 ,  141.278387664 ,  -27.0398203618 ,  -10.4474186192 ,  -7.74809214652 ,  1.20677812077 , -0.694827686898 , 167.992604792
-2.39629162382 ,  148.537456922 ,  -29.1342654156 ,  -3.82509328987 ,  -7.45733906741 ,  2.87167951483 , -2.06004446414 , 174.314535085
-4.12548962915 ,  156.876024678 ,  -27.2849444564 ,  2.7601477739 ,  -6.19436951662 ,  4.34807770272 , 11.9640652893 , 180.690875131
-8.56792728684 ,  168.629121563 ,  -26.8366696856 ,  10.7867720809 ,  -5.34942933811 ,  5.99182986561 , 0.682359384332 , 195.653681458
-11.7246030121 ,  179.594482047 ,  -25.6516230856 ,  17.3473910059 ,  -4.41570648793 ,  7.09682057944 , -0.88071141478 , 199.361497536
-10.5855020164 ,  189.542574392 ,  -21.8289369718 ,  22.480161502 ,  -2.91075304146 ,  7.71398064202 , 9.99656251459 , 202.577174163
-10.2876745011 ,  197.81883329 ,  -18.8341345665 ,  25.9344213536 ,  -1.75749710129 ,  7.83575303451 , 5.37032242628 , 203.622949625
-5.70362206849 ,  206.428066501 ,  -13.3347397208 ,  29.0246728817 ,  -0.0865932403297 ,  7.81642322085 , 19.2322848452 , 210.464980069
0.164979548383 ,  213.975226424 ,  -7.49993187876 ,  30.9333959087 ,  1.50148417226 ,  7.47338569998 , 24.6667938464 , 213.086078493
6.36740790891 ,  220.202857958 ,  -2.01627844577 ,  31.6419274026 ,  2.83898148449 ,  6.84063931305 , 27.6930878017 , 214.739886971
16.5174745343 ,  222.654068627 ,  5.34542536985 ,  29.7810942991 ,  4.5036181497 ,  5.6114373998 , 44.4670921798 , 207.140337422
25.4554044213 ,  220.843861129 ,  11.2101688083 ,  25.0767227337 ,  5.59906288522 ,  3.75206642371 , 44.7260193159 , 194.651635081
34.1067133629 ,  220.0607826 ,  16.187373341 ,  21.2890447014 ,  6.33771248049 ,  2.29467519888 , 48.2288449417 , 200.031306075
43.2389115928 ,  218.955449603 ,  20.7385594121 ,  17.3744580717 ,  6.84266084582 ,  0.934620028304 , 54.0291277601 , 200.392544489
51.9543126051 ,  213.413000487 ,  24.3167554904 ,  11.0083894437 ,  7.0146121429 ,  -0.897507099198 , 57.9744739556 , 187.09409836
62.5975688374 ,  208.451537936 ,  28.745536437 ,  5.90351280862 ,  7.40862401486 ,  -2.21867352282 , 72.9944958017 , 188.690170772
68.0220194886 ,  197.030061822 ,  29.3860255566 ,  -2.67128322076 ,  6.79902021279 ,  -4.26563585219 , 62.639982912 , 163.818362937
72.0644248607 ,  187.978910117 ,  28.8006422408 ,  -8.9653933282 ,  5.90137501832 ,  -5.51740297223 , 61.9426368922 , 166.546605061
74.1370915686 ,  177.630702888 ,  26.8110451361 ,  -15.35035237 ,  4.7151541626 ,  -6.64088265321 , 59.1140461182 , 157.34049072
70.6968077671 ,  170.032668229 ,  21.4960573217 ,  -19.2803080078 ,  2.80882834379 ,  -7.0234682144 , 43.1479453857 , 161.017587113
68.1209392923 ,  163.192308764 ,  17.0028501781 ,  -22.1542767002 ,  1.28082156217 ,  -7.06486646206 , 46.1739055052 , 159.277728744
67.3428895161 ,  155.577339321 ,  13.9977710987 ,  -25.0501850702 ,  0.27426503345 ,  -7.08567303316 , 53.3707317925 , 151.529485493
61.9768665196 ,  149.528623221 ,  8.33297384848 ,  -26.4414438497 ,  -1.29852568104 ,  -6.69020061308 , 38.2249168225 , 151.931821449
56.3385804541 ,  142.22494732 ,  3.09381508561 ,  -28.3418210008 ,  -2.60183626928 ,  -6.44918540113 , 36.0208862426 , 141.835254047
48.3057388005 ,  135.984473535 ,  -3.1259638753 ,  -29.1446218944 ,  -4.00699821706 ,  -5.92339915724 , 25.4864507559 , 140.009047982
41.6008256472 ,  134.877479658 ,  -7.85363493978 ,  -26.4396160158 ,  -4.87755149335 ,  -4.54397438447 , 26.7186182037 , 152.831893774
31.4657642293 ,  133.313425594 ,  -14.1301637641 ,  -24.1213686321 ,  -6.02884447929 ,  -3.38591792025 , 11.2133502522 , 148.029921544
21.4891796243 ,  134.08954514 ,  -19.5728686663 ,  -20.5340635457 ,  -6.84233682479 ,  -2.02219018197 , 5.62574068966 , 152.739571671
13.449333349 ,  136.971498756 ,  -23.0947689784 ,  -15.8059324309 ,  -7.0567566375 ,  -0.4973295113 , 6.64660815133 , 158.857065096
6.26299187063 ,  140.42554571 ,  -25.6027275614 ,  -11.1793801982 ,  -6.98139929416 ,  0.849276930484 , 3.6631133122 , 160.285892043
1.58086086328 ,  147.063176194 ,  -26.0832543029 ,  -4.9499437728 ,  -6.37196370085 ,  2.45991955302 , 7.48244557978 , 172.09253416
-2.41390728772 ,  157.513171709 ,  -25.8268679122 ,  3.06801204351 ,  -5.60418370412 ,  4.34305001273 , 5.9824411467 , 187.882798479
-4.52770040623 ,  165.18243474 ,  -24.3235702328 ,  8.47939039247 ,  -4.59254681538 ,  5.37256022546 , 8.00565734923 , 182.820217387
-5.70909434569 ,  175.677965337 ,  -22.2176378446 ,  15.0176587841 ,  -3.51299801144 ,  6.56016695731 , 8.23667710045 , 196.895627024
-5.3665752598 ,  184.795236547 ,  -19.1689941963 ,  19.9089376348 ,  -2.28612578211 ,  7.18148678617 , 11.2986064023 , 197.592271515
-2.44843926066 ,  193.818329505 ,  -14.7394703059 ,  24.0939555751 ,  -0.830765403621 ,  7.54067861555 , 18.5240591628 , 203.083840012
0.313730451073 ,  202.99679342 ,  -10.6055485116 ,  27.6217279752 ,  0.41189586927 ,  7.63329017193 , 18.109384568 , 208.416259681
3.58886073204 ,  209.490527296 ,  -6.68150595633 ,  29.0645771724 ,  1.47110619443 ,  7.20013238442 , 19.2278630263 , 206.915507102
10.4193278938 ,  215.035488624 ,  -0.915737669052 ,  29.5342218706 ,  2.87815927604 ,  6.53447384617 , 32.493415877 , 208.858925456
16.331585978 ,  217.877079415 ,  3.72063645482 ,  27.9454608457 ,  3.84148712892 ,  5.37808493521 , 31.901811868 , 203.826454464
26.9893209652 ,  221.968038206 ,  10.7308541834 ,  27.2370756773 ,  5.29417096027 ,  4.55744566306 , 51.5262167656 , 213.055306423
37.2047291434 ,  222.382201287 ,  16.6761969706 ,  24.0983983729 ,  6.30660450841 ,  3.18829755502 , 55.6681738887 , 204.297422476
44.6122610055 ,  219.457127332 ,  20.1186106044 ,  18.9736682528 ,  6.55437905707 ,  1.44364793033 , 51.4007809448 , 194.832845192
49.1848745672 ,  218.461652688 ,  21.3482904904 ,  15.5749212554 ,  6.21829046636 ,  0.309163859383 , 46.9534762966 , 202.83475231
54.7704214101 ,  211.466748249 ,  22.9130212943 ,  8.73013597165 ,  5.97705895654 ,  -1.57369452733 , 54.3081971494 , 182.697310518
60.6711959837 ,  203.997981589 ,  24.2266184369 ,  2.12734966888 ,  5.65198841476 ,  -3.19636801665 , 59.0926414852 , 178.735731487
67.7616782772 ,  194.860277055 ,  26.0522398014 ,  -4.75809815641 ,  5.47931745614 ,  -4.71623777625 , 68.9117663363 , 170.095393417
69.7070742477 ,  184.306940074 ,  24.2544002587 ,  -11.7794931461 ,  4.3859193078 ,  -6.08820126469 , 56.0274339833 , 160.991508352
